,Job Title,Company,Location,Salary
970,Sr Software Engineer,Signal.co,"Chicago, IL 60601 (Loop area)","$102,000 - $136,000 a year (Indeed est.)"
971,Software Developer - .Net,"Catalyst Consulting Group, Inc.","Chicago, IL","$66,000 - $99,000 a year (Indeed est.)"
973,Java/J2EE Software Engineer,Mass Genics,"Chicago, IL","$101,000 - $146,000 a year (Indeed est.)"
975,Backend Developer,"Jio, Inc.","Chicago, IL","$75,000 - $113,000 a year (Indeed est.)"
976,Java Engineer,Morningstar,"Chicago, IL 60602 (Loop area)","$86,000 - $124,000 a year (Indeed est.)"
981,"Senior Software Engineer, Prepare (DocGen)",DocuSign,"Chicago, IL","$88,000 - $118,000 a year (Indeed est.)"
983,Java Developer,Arthur Lawrence,"Oak Lawn, IL","$78,000 - $113,000 a year (Indeed est.)"
986,Senior Software Engineer,UBS,"Chicago, IL 60606 (Loop area)","$105,000 - $141,000 a year (Indeed est.)"
988,Cloud Engineer,Federal Reserve Bank of Chicago,"Chicago, IL","$98,000 - $137,000 a year (Indeed est.)"
990,"Fall 2019 Intern, Electronics Software Testing - Undergradua...",ANSYS,"Chicago, IL 60699 (Near West Side area)","$35,000 - $52,000 a year (Indeed est.)"
992,Software Developer,CNH Industrial,"Burr Ridge, IL 60527","$74,000 - $111,000 a year (Indeed est.)"
993,Java Engineer (Equity Based Compensation),Kaiburr,"Chicago, IL","$94,000 - $136,000 a year (Indeed est.)"
1007,Senior Software Engineer,STATS,"Chicago, IL 60607 (Near West Side area)","$105,000 - $140,000 a year (Indeed est.)"
1011,Full Stack Engineer,Paro,"Chicago, IL 60610 (Near North Side area)","$85,000 - $122,000 a year (Indeed est.)"
1012,Software Developer,FPM Technologies,"North Chicago, IL","$70,000 - $106,000 a year (Indeed est.)"
1014,Java Software Engineer,IMC Financial Markets,"Chicago, IL","$118,000 - $171,000 a year (Indeed est.)"
1015,Software Product Developer - ServiceNow Application,Column Group,"Chicago, IL","$70,000 - $104,000 a year (Indeed est.)"
1020,Data Scientist - Quantative,Truckstop.com Careers,"Chicago, IL","$97,000 - $143,000 a year (Indeed est.)"
1021,Software Developer - .Net / C#,BDO,"Oak Brook, IL","$72,000 - $108,000 a year (Indeed est.)"
1022,Senior Software Engineer,Nielsen,"Chicago, IL 60647","$93,000 - $125,000 a year (Indeed est.)"
1025,QA Automation Engineer,Solstice,"Chicago, IL 60606 (Loop area)","$76,000 - $107,000 a year (Indeed est.)"
1028,Sr Software Engineer - Java,HERE Technologies,"Chicago, IL","$106,000 - $142,000 a year (Indeed est.)"
1030,Business Intelligence Engineer,XPO Logistics,"Aurora, IL 60502","$69,000 - $98,000 a year (Indeed est.)"
1032,Senior Software Engineer (Contract-to-hire),AGENT511,"Chicago, IL","$101,000 - $136,000 a year (Indeed est.)"
1035,Data Scientist - Decision Sciences Personal Valuation team,Conversant Media,"Chicago, IL","$98,000 - $144,000 a year (Indeed est.)"
1041,C++ Senior eTrading Software Engineer,JP Morgan Chase,"Chicago, IL 60603 (Loop area)","$118,000 - $158,000 a year (Indeed est.)"
1042,Blockchain Technical Software Engineer,JP Morgan Chase,"Chicago, IL 60603 (Loop area)","$95,000 - $142,000 a year (Indeed est.)"
1047,Software Development Engineer in Test (SDET),CBOE,"Chicago, IL 60605 (Near South Side area)","$91,000 - $135,000 a year (Indeed est.)"
1049,SAP IBP,"JAMY INTERACTIVE, INC","Chicago, IL","$100,000 - $130,000 a year"
1050,Front-End Software Developer,IDEO,"Chicago, IL","$79,000 - $116,000 a year (Indeed est.)"
1071,Business/QA Analyst,Lendr,"Chicago, IL 60654 (Loop area)","$65,000 - $95,000 a year"
1085,Sr Java Developer,Essani International,"Chicago, IL",$60 - $70 an hour
1114,Web Developer,Erikson Institute,"Chicago, IL 60654 (Loop area)","$55,000 - $65,000 a year"
1124,TECHNOLOGY MANAGER - ELECTION EQUIPMENT,Cook County Clerk's Office,"Chicago, IL 60602 (Loop area)","$90,120 a year"
1150,Analyst - Office 365/Active Directory Support,Bantic,"Chicago, IL","$77,000 - $82,000 a year"
1154,Solutions Engineer - Central,"Configuration Management, Inc.","Chicago, IL","$125,000 a year"
1177,Criminal Research Analyst II - SOIC,Cook County Sheriff’s Office,"Chicago, IL","$50,030 - $55,276 a year"
1208,sales force developer,Vastek Inc,"Chicago, IL",$27 - $30 an hour
1259,CNC Programmer - $32 / hr,FactoryFix,"Melrose Park, IL",$29 - $32 an hour
1279,STEM Workshop Project Coach (Chicago),SMASH,"Chicago, IL",$150 a day
1384,Mechantronics Technician/Entry Level Controls Engineer (Pack...,"System Technology, Inc.","Joliet, IL 60433",$20 - $22 an hour
1454,Senior Software Developer,Lionbridge,"Chicago, IL","$83,000 - $111,000 a year (Indeed est.)"
1458,Software Engineer II,Azzur Group,"Chicago, IL","$105,000 - $141,000 a year (Indeed est.)"
1459,Service focused Software Developer,inRiver,"Chicago, IL 60606 (Loop area)","$63,000 - $94,000 a year (Indeed est.)"
1460,Staff Software Engineer - Cloud Development,Relativity,"Chicago, IL","$93,000 - $139,000 a year (Indeed est.)"
1461,IT System Engineer,Ann & Robert H. Lurie Children’s Hospital of Chica...,"Chicago, IL","$53,000 - $82,000 a year (Indeed est.)"
1465,Senior Full Stack Software Engineer - (JavaScript Focus),Relativity,"Chicago, IL","$78,000 - $111,000 a year (Indeed est.)"
1466,Software Engineer / DBA,"Remprex, LLC","Willowbrook, IL 60527","$62,000 - $92,000 a year (Indeed est.)"
1468,Full Stack Developer (JavaScript),Discover Financial Services,"Riverwoods, IL","$93,000 - $133,000 a year (Indeed est.)"
1470,Backend Developer (Java),Inspire11,"Chicago, IL","$88,000 - $132,000 a year (Indeed est.)"
1471,"Anticipated FY20-Regular Teacher (9-12 Math, Computer Scienc...",Chicago Public Schools,"Chicago, IL","$41,000 - $60,000 a year (Indeed est.)"
1473,Software Developer,Astronics,"Lake Zurich, IL 60047","$69,000 - $104,000 a year (Indeed est.)"
1475,Software Engineering,Optimal Design,"Arlington Heights, IL 60004","$82,000 - $123,000 a year (Indeed est.)"
1476,Senior Software Engineer,Insureon,"Chicago, IL 60602 (Loop area)","$103,000 - $138,000 a year (Indeed est.)"
1477,Full Stack Ruby Software Engineer,OppLoans,"Chicago, IL 60601 (Loop area)","$91,000 - $129,000 a year (Indeed est.)"
1478,Senior Software Developer (Datastage),Numentica LLC,"Schaumburg, IL","$94,000 - $127,000 a year (Indeed est.)"
1479,"Software Engineer, Golang",Digital Intent,"Chicago, IL 60607 (Near West Side area)","$97,000 - $146,000 a year (Indeed est.)"
1486,Mid-Level .NET Software Developer,PCMI Corporation,"Park Ridge, IL 60068","$68,000 - $95,000 a year (Indeed est.)"
1487,Sr. Software Developer II,Xylem,"Morton Grove, IL","$84,000 - $113,000 a year (Indeed est.)"
1489,UI/UX Engineer/Developer III,Advantech,"Chicago, IL 60606 (Loop area)","$85,000 - $126,000 a year (Indeed est.)"
1491,Frontend Web Developer,Groupon,"Chicago, IL 60654 (Loop area)","$91,000 - $134,000 a year (Indeed est.)"
1494,Senior API Developer,Rush University Medical Center,"Chicago, IL","$90,000 - $130,000 a year (Indeed est.)"
