,Job Title,Company,Location,Salary
345,Data Scientist,Chicago Transit Authority,"Chicago, IL","$95,000 - $105,000 a year"
346,Web Application Analyst & Developer,Jettison,"Schaumburg, IL","$85,000 - $90,000 a year"
347,Systems Engineer I,Mitutoyo America Corporation,"Aurora, IL 60502","$61,000 - $94,000 a year (Indeed est.)"
348,Software Developer,Honeywell,"Des Plaines, IL 60017","$64,000 - $97,000 a year (Indeed est.)"
349,Client Side Software Engineer,Kongregate,"Chicago, IL","$65,000 - $98,000 a year (Indeed est.)"
350,Software Engineer,Instructure,"Chicago, IL 60601 (Loop area)","$85,000 - $127,000 a year (Indeed est.)"
351,"SR. SOFTWARE ENGINEER, IOS",Foot Locker,"Chicago, IL","$105,000 - $140,000 a year (Indeed est.)"
352,Cloud Based Software Development Manager,Healthware Systems,"Elgin, IL 60123","$125,000 - $150,000 a year"
353,Senior Software Engineer,Warner Bros Careers,"Chicago, IL","$99,000 - $132,000 a year (Indeed est.)"
355,Associate Software Engineer (Java),CCC Information Services Inc.,"Chicago, IL 60654 (Loop area)","$89,000 - $134,000 a year (Indeed est.)"
356,Software Engineer,iManage.com,"Chicago, IL 60661 (Near West Side area)","$92,000 - $138,000 a year (Indeed est.)"
357,Staff Software Engineer,Uptake,"Chicago, IL","$89,000 - $133,000 a year (Indeed est.)"
358,Software Developer,Medulla,"Oak Brook, IL 60523","$63,000 - $95,000 a year (Indeed est.)"
359,Software Engineer (Symitar),Alliant Credit Union,"Chicago, IL 60666","$74,000 - $110,000 a year (Indeed est.)"
360,Software Engineer,Optiver US,"Chicago, IL","$99,000 - $148,000 a year (Indeed est.)"
363,Software Quality Engineer,ServiceNow,"Chicago, IL","$79,000 - $116,000 a year (Indeed est.)"
364,Software Engineer in Test,Echo Global Logistics,"Chicago, IL 60654 (Loop area)","$89,000 - $132,000 a year (Indeed est.)"
365,Software Engineer,Kenna Security,"Chicago, IL","$87,000 - $130,000 a year (Indeed est.)"
366,Software Development Engineer,Groupon,"Chicago, IL 60654 (Loop area)","$88,000 - $133,000 a year (Indeed est.)"
378,Senior Software Engineer,Professional Benefit Administrators,"Chicago, IL","$75,000 - $100,000 a year"
426,Internship - Project Engineer Summer Intern- HH,IHC Construction Companies LLC,"Chicago, IL",$18 an hour
427,WEX Software Engineer C#,Wolverine Trading,"Chicago, IL 60604 (Loop area)","$86,000 - $129,000 a year (Indeed est.)"
428,Software Engineers/Programmers,MatrixSea,"Tinley Park, IL","$81,000 - $121,000 a year (Indeed est.)"
429,"Software Engineer, API",Foursquare,"Chicago, IL","$108,000 - $161,000 a year (Indeed est.)"
430,Frontend Software Engineer,eSpark Learning,"Chicago, IL","$69,000 - $101,000 a year (Indeed est.)"
431,Senior Algorithms/Software Engineer,Cloudbot,"Chicago, IL","$102,000 - $137,000 a year (Indeed est.)"
432,Assoc. Software Developer,UST Global,"Chicago, IL","$64,000 - $97,000 a year (Indeed est.)"
433,Software Engineer,Alliant Credit Union,"Chicago, IL","$82,000 - $123,000 a year (Indeed est.)"
434,"Software Engineer, Test",Early Warning Services,"Chicago, IL","$73,000 - $108,000 a year (Indeed est.)"
438,Software Device Principal Quality Engineer,Baxter Healthcare,"Round Lake, IL","$89,000 - $132,000 a year (Indeed est.)"
440,Full Stack Senior Software Engineer,NORC at the University of Chicago,"Chicago, IL","$104,000 - $148,000 a year (Indeed est.)"
441,Software Development Engineer in Test,SPR,"Chicago, IL 60606 (Loop area)","$69,000 - $101,000 a year (Indeed est.)"
443,Software Engineer II,Civis Analytics,"Chicago, IL","$88,000 - $118,000 a year (Indeed est.)"
445,Software Development Engineer - Optimize,Groupon,"Chicago, IL 60654 (Loop area)","$92,000 - $137,000 a year (Indeed est.)"
446,Software Engineer,Norvax LLC,"Chicago, IL 60654 (Loop area)","$77,000 - $115,000 a year (Indeed est.)"
447,Lead Software Engineer in Test,Jellyvision,"Chicago, IL 60642 (Portage Park area)","$92,000 - $137,000 a year (Indeed est.)"
448,Enterprise Systems Engineer,Dart Container,"Lincolnshire, IL","$70,000 - $109,000 a year (Indeed est.)"
449,Software Engineer,"FTD Companies, Inc","Downers Grove, IL 60515","$86,000 - $130,000 a year (Indeed est.)"
450,Data Distribution Software Engineer,JP Morgan Chase,"Chicago, IL 60603 (Loop area)","$93,000 - $140,000 a year (Indeed est.)"
451,Software Development Engineer in Test,project44,"Chicago, IL","$84,000 - $125,000 a year (Indeed est.)"
454,Software Developer @ Deal Page,Groupon,"Chicago, IL 60654 (Loop area)","$77,000 - $116,000 a year (Indeed est.)"
456,Software Engineer,Adeptia,"Chicago, IL 60654 (Loop area)","$87,000 - $130,000 a year (Indeed est.)"
457,Immediate Opening – Experienced Electrical/Software Engineer,BalanStar Corporation,"Chicago, IL 60644 (Austin area)","$65,000 - $93,000 a year (Indeed est.)"
458,Software Developer,Pariveda Solutions,"Chicago, IL 60606 (Loop area)","$87,000 - $131,000 a year (Indeed est.)"
460,Software Engineer,Citadel Securities,"Chicago, IL","$102,000 - $154,000 a year (Indeed est.)"
462,Software Engineer - Test,Perficient,"Chicago, IL","$78,000 - $116,000 a year (Indeed est.)"
464,Software Developer,Insureon,"Chicago, IL 60602 (Loop area)","$75,000 - $112,000 a year (Indeed est.)"
466,"SOFTWARE ENGINEER, APPLICATIONS",Centro,"Chicago, IL 60654 (Loop area)","$86,000 - $130,000 a year (Indeed est.)"
467,Software Engineer - University Students,McKinsey & Company,"Chicago, IL","$93,000 - $140,000 a year (Indeed est.)"
468,Lead Software Developer,Honeywell,"Des Plaines, IL 60017","$78,000 - $117,000 a year (Indeed est.)"
480,Blockchain Software Engineer,JP Morgan Chase,"Chicago, IL 60603 (Loop area)","$91,000 - $136,000 a year (Indeed est.)"
481,Senior Software Engineer,Delta Mobile Systems,"Elgin, IL 60123","$98,000 - $131,000 a year (Indeed est.)"
484,"Software Engineer, Front End",Fitch Solutions,"Chicago, IL","$94,000 - $139,000 a year (Indeed est.)"
486,"Sr. Staff Software Engineer, Backend (Multiple levels)",The Climate Corporation,"Chicago, IL","$118,000 - $158,000 a year (Indeed est.)"
487,Full stack Web Developer,FlavaWorks,"Chicago, IL","$75,000 - $95,000 a year"
489,Graduate Systems Engineer,IMC Financial Markets,"Chicago, IL","$113,000 - $175,000 a year (Indeed est.)"
492,Senior Software Developer,MW Partners,"Schaumburg, IL","$90,000 - $120,000 a year (Indeed est.)"
493,Software Engineer (Java),SecureTrust,"Chicago, IL","$84,000 - $126,000 a year (Indeed est.)"
494,Software Engineer,TopBloc,"Chicago, IL","$93,000 - $139,000 a year (Indeed est.)"
495,Software Engineer,"Vela Trading Systems, LLC","Chicago, IL 60606 (Loop area)","$107,000 - $160,000 a year (Indeed est.)"
497,Software Automation Engineer,The Federal Home Loan Bank of Chicago,"Chicago, IL","$82,000 - $115,000 a year (Indeed est.)"
498,Software Engineer,West Corporation,"Chicago, IL","$77,000 - $116,000 a year (Indeed est.)"
499,Software Engineer,Codeverse,"Chicago, IL","$90,000 - $135,000 a year (Indeed est.)"
501,Software Engineer,Dispatch.me,"Chicago, IL","$82,000 - $123,000 a year (Indeed est.)"
505,Advisory Systems Engineer,DELL,"Chicago, IL","$90,000 - $139,000 a year (Indeed est.)"
506,Full Stack Engineer,ParkWhiz LLC,"Chicago, IL 60618 (Avondale area)","$81,000 - $117,000 a year (Indeed est.)"
507,Embedded Software Engineer,Motorola Solutions,"Schaumburg, IL","$80,000 - $119,000 a year (Indeed est.)"
512,Software Engineer,Symbria,"Warrenville, IL","$76,000 - $114,000 a year (Indeed est.)"
514,Senior Front-End Developer,CRATE & BARREL,"Northbrook, IL 60062","$85,000 - $100,000 a year"
515,Software Developer,Rx2i,"Chicago, IL","$83,000 - $124,000 a year (Indeed est.)"
517,Software Developer,Leica Biosystems,"Buffalo Grove, IL","$62,000 - $93,000 a year (Indeed est.)"
518,Software Engineer - Measurement JS,Integral Ad Science,"Chicago, IL","$86,000 - $129,000 a year (Indeed est.)"
530,Data Analyst,onShore,"Chicago, IL 60642 (Portage Park area)","$65,000 - $85,000 a year"
534,Desktop Support Engineer,Morae Global,"Chicago, IL","$50,000 - $55,000 a year"
547,Associate Network Engineer Ninja,Framework Communications,"Chicago, IL 60612 (Near West Side area)","$50,000 - $80,000 a year"
584,Java Software Engineer,Businessolver,"Chicago, IL 60610 (Near North Side area)","$89,000 - $128,000 a year (Indeed est.)"
588,Software Engineer Manager,Credit Ninja,"Chicago, IL","$118,000 - $169,000 a year (Indeed est.)"
589,Software Engineering Manager,Jellyvision,"Chicago, IL 60642 (Portage Park area)","$118,000 - $170,000 a year (Indeed est.)"
591,Advanced Software Engineer,Relativity,"Chicago, IL","$79,000 - $119,000 a year (Indeed est.)"
