,Job_Title,Company,Location,Salary
115,"Senior Software Engineer Backend, KeepTruckin SF",KeepTruckin,"San Francisco, CA",165000.0
116,Product Manager,World Open Network,"Menlo Park, CA",122500.0
117,Golang Software Engineer,World Open Network,"Menlo Park, CA",120000.0
118,Cloud SRE Engineer,World Open Network,"Menlo Park, CA",122500.0
119,Blockchain Development Engineer,World Open Network,"Menlo Park, CA",120000.0
120,Blockchain Architect Engineer,World Open Network,"Menlo Park, CA",120000.0
121,Senior Frontend Developer,Sentry,"San Francisco, CA",150000.0
122,Open Source Developer,Corelight,"San Francisco, CA",152500.0
123,SENIOR JAVA ARCHITECT,Appen,"Pleasanton, CA",175000.0
124,Lead iOS Engineer at real-time video startup,Airtime,"Palo Alto, CA",200000.0
125,Senior iOS Engineer,Tally,"San Francisco, CA",150000.0
126,Senior iOS Engineer,Precious,"San Francisco, CA",145000.0
127,"Full-Stack Software Engineer (Front-End), AI/ML in Santa Clara Area","Ushur, Inc.","Santa Clara, CA",140000.0
128,"Manager, Software Engineering",HomeLight,"San Francisco, CA",165000.0
129,Sr. Software development Engineer in Test,PlayStation,"San Francisco, CA",137500.0
130,Senior Compiler Engineer,Groq,"Menlo Park, CA",170000.0
131,Software Development Engineer (Back-End),RTC Talent,"Mountain View, CA",152500.0
132,"Web Developer (Ruby, Javascript)",Daily Kos (Kos Media LLC),"Oakland, CA",97500.0
133,Front End Data Visualization Developer,Daily Kos (Kos Media LLC),"Oakland, CA",105000.0
134,"Senior Web Developer (Javascript, Ruby)",Daily Kos (Kos Media LLC),"Oakland, CA",135000.0
135,Infrastructure Automation Engineer,Autodesk,"San Francisco, CA",112500.0
136,"Software Engineer, Contact Center Platform",Autodesk,"San Francisco, CA",95000.0
137,3D Mapping Algorithms Engineer,Hivemapper,"Burlingame, CA",135000.0
138,Lead Server-side Clojure Engineer,Parkside Securities,"San Francisco, CA",147500.0
139,Lead Android Engineer,Y Media Labs,"Redwood City, CA",155000.0
140,Senior Haskell Engineer,Groq,"Menlo Park, CA",170000.0
141,Embedded and Firmware Software Engineer,Astranis,"San Francisco, CA",100000.0
142,Node.js + React engineer,Pray.com,"Palo Alto, CA",105000.0
143,Senior Backend Engineer - API Design,Serotiny,"San Francisco, CA",125000.0
144,Senior/Lead Frontend Engineer,"Emprove, Inc.","Burlingame, CA",132500.0
145,Senior Full Stack Engineer,"Emprove, Inc.","Burlingame, CA",132500.0
146,Looking for developer with experience in AWS Lambda using node.js,Verikai Inc.,"San Francisco, CA",100000.0
147,Developer - Node Neo 4J,McKinsey & Company,"San Francisco, CA",140000.0
148,Senior Javascript Engineer,Beautiful.AI,"San Francisco, CA",160000.0
149,Senior Android Developer,UpMetrics,"Folsom, CA",130000.0
150,Full-Stack JavaScript Developer Who Loves System Architecture,"Benningfield Group, Inc.","Folsom, CA",117500.0
