,Job Title,Company,Location,Salary
1399,Software Development Engineer in Test (Seattle),Instructure,"Seattle, WA","$84,000 - $124,000 a year (Indeed est.)"
1401,Software Engineer - Graphics,Facebook,"Redmond, WA","$86,000 - $128,000 a year (Indeed est.)"
1403,"Software Engineer, Desktop Platform",Dropbox,"Seattle, WA","$108,000 - $161,000 a year (Indeed est.)"
1405,"Staff Software Engineer, Calcs (Platform)",Tableau,"Seattle, WA 98107 (Ballard area)","$104,000 - $156,000 a year (Indeed est.)"
1406,"Software Engineer, Systems",Amperity,"Seattle, WA","$101,000 - $151,000 a year (Indeed est.)"
1422,"Software Engineer (Seattle, WA)",MedBridge,"Seattle, WA 98109 (Westlake area)","$95,000 - $143,000 a year (Indeed est.)"
1424,Software Engineer - Java Developer,Indigo Slate,"Bellevue, WA","$98,000 - $146,000 a year (Indeed est.)"
1425,FULL STACK ENGINEER,TableSafe Inc.,"Kirkland, WA 98034 (Juanita area)","$77,000 - $110,000 a year (Indeed est.)"
1429,Systems Engineer-Bioinformatics,Sage Bionetworks,"Seattle, WA 98121 (Belltown area)","$103,000 - $160,000 a year (Indeed est.)"
1432,AR Systems Software Engineer,Facebook,"Redmond, WA","$78,000 - $121,000 a year (Indeed est.)"
1433,Systems Engineer,Seattle Children’s,"Seattle, WA","$71,000 - $111,000 a year (Indeed est.)"
1434,"engineer II, Starbucks Technology, SSC - Seattle, WA",Starbucks,"Seattle, WA","$96,000 - $139,000 a year (Indeed est.)"
1436,Staff UI Engineer,Gigamon,"Seattle, WA","$96,000 - $141,000 a year (Indeed est.)"
1438,Software Support Engineer,Allegion,"Snoqualmie, WA","$64,000 - $96,000 a year (Indeed est.)"
1440,"Software Engineer I, Cloud","ExtraHop Networks, Inc.","Seattle, WA 98101 (Downtown area)","$116,000 - $174,000 a year (Indeed est.)"
1441,"Data Engineer, Data Science",Convoy,"Seattle, WA","$91,000 - $134,000 a year (Indeed est.)"
1447,Software Developer,Oath Inc,"Seattle, WA","$89,000 - $133,000 a year (Indeed est.)"
1449,Software Engineer - Database Kernel Development,Facebook,"Seattle, WA 98101 (Downtown area)","$96,000 - $144,000 a year (Indeed est.)"
1452,Software Developer,BiSoft,"Redmond, WA","$115,000 a year"
1453,Software Tester,Cayzen Technologies,"Lacey, WA 98503","$71,000 - $105,000 a year (Indeed est.)"
1457,Full Stack Software Engineer,Tango Card,"Seattle, WA 98116 (Admiral area)","$101,000 - $145,000 a year (Indeed est.)"
1458,Cloud Software Engineer - Webex Teams,Cisco Careers,"Seattle, WA","$98,000 - $136,000 a year (Indeed est.)"
1459,Software Engineer : 19-0643,Akraya Inc.,"Seattle, WA 98104","$86,000 - $129,000 a year (Indeed est.)"
1538,Sr. Java Developer,T-Mobile,"Bellevue, WA 98004 (Downtown area)",$55 - $65 an hour
1548,Software Developer/Sr. Software Developer,Liberty Mutual Insurance,"Seattle, WA 98101 (Downtown area)","$83,800 - $134,100 a year"
1557,Java Web Application Developer,SocialReport.com,"Bellevue, WA 98007 (Lake Hills area)","$80,000 - $120,000 a year"
