,Job Title,Company,Location,Salary
425,SEO Spring/Summer INTERN,Roomster,"New York, NY 10013 (Tribeca area)",$250 a week
428,C++ Programmer,BlindData,"New York, NY","$100,000 - $200,000 a year"
432,Software Engineer [Canada Immigration],Relikem India,"New York, NY","$50,000 - $70,000 a year"
436,Entry level software engineer,Itlize,"Piscataway, NJ","$45,000 - $50,000 a year"
451,Senior Full Stack Software Engineer,Avvir,"New York, NY","$90,000 - $140,000 a year"
459,Java - Spring Boot Developer,Genesis Consulting LLC,"New York, NY",$50 - $70 an hour
475,Software Engineer,Sidewalk Labs,"New York, NY","$111,000 - $166,000 a year (Indeed est.)"
476,"Software Engineer, Platform",Casper,"New York, NY","$118,000 - $176,000 a year (Indeed est.)"
477,Software Engineer,B12,"New York, NY","$95,000 - $142,000 a year (Indeed est.)"
478,Software Engineer,Attune,"New York, NY 10004 (Financial District area)","$89,000 - $133,000 a year (Indeed est.)"
480,"Software Engineer, Android (New York City)",Duolingo,"New York, NY","$102,000 - $153,000 a year (Indeed est.)"
481,FULL STACK SOFTWARE ENGINEER - MOBILE,Topps,"New York, NY 10004 (Financial District area)","$117,000 - $168,000 a year (Indeed est.)"
483,"Data Scientist, Studios Analytics",Spotify,"New York, NY 10011 (Chelsea area)","$109,000 - $161,000 a year (Indeed est.)"
484,Software Engineer,Heap automates,"New York, NY","$108,000 - $162,000 a year (Indeed est.)"
485,Full-Stack Software Engineer,Nautilus Labs,"New York, NY","$104,000 - $149,000 a year (Indeed est.)"
489,Software Developer,Tinkergarten,"New York, NY","$88,000 - $132,000 a year (Indeed est.)"
490,Python Developer,OC10 Inc.,"New York, NY",$45 - $50 an hour
491,Software Engineer- API/ Microservices/ Spring Boot,JP Morgan Chase,"New York, NY 10004 (Financial District area)","$123,000 - $184,000 a year (Indeed est.)"
492,Senior Software Engineer,The New York Times,"New York, NY 10036","$110,000 - $147,000 a year (Indeed est.)"
493,"Software Engineer, iOS",Facebook,"New York, NY 10017 (Midtown area)","$85,000 - $127,000 a year (Indeed est.)"
495,Software Engineer - Research & Development,Goldman Sachs,"New York, NY 10282 (Tribeca area)","$119,000 - $178,000 a year (Indeed est.)"
499,Software Engineer,Wyng Microexperience Platform,"New York, NY","$103,000 - $154,000 a year (Indeed est.)"
500,"Software Engineer, Full Stack",Cockroach Labs,"New York, NY","$113,000 - $162,000 a year (Indeed est.)"
501,Software Engineer,Insider Inc.,"New York, NY 10006 (Financial District area)","$89,000 - $133,000 a year (Indeed est.)"
503,Software Engineer,Visionet Systems,"New York, NY","$68,000 - $101,000 a year (Indeed est.)"
504,"Software Engineer, Business Systems",Warby Parker,"New York, NY 10003 (Greenwich Village area)","$114,000 - $170,000 a year (Indeed est.)"
506,Back-End Developer,AIG,"New York, NY","$104,000 - $157,000 a year (Indeed est.)"
507,Software Engineer,Voxy,"New York, NY 10012 (Little Italy area)","$110,000 - $164,000 a year (Indeed est.)"
508,"Summer Internship - Software Engineer - Jersey City, NJ or B...",Verisk,"Jersey City, NJ","$39,000 - $58,000 a year (Indeed est.)"
509,Software Engineer - C#/WPF (Triton),Virtu Financial,"New York, NY","$145,000 - $217,000 a year (Indeed est.)"
511,"Software Engineer, Android",iHeartRadio,"New York, NY","$109,000 - $164,000 a year (Indeed est.)"
513,Junior DevOps Engineer,Templum,"New York, NY 10014 (West Village area)","$75,000 - $100,000 a year"
514,Front End Software Developer,Analytic Partners,"New York, NY 10017 (Midtown area)","$87,000 - $128,000 a year (Indeed est.)"
528,Software Engineer,"Future Skies, Inc.","Wall, NJ",$0 a year
540,QA Engineer,InfoTmT,"New York, NY 11211","$95,000 - $105,000 a year"
558,Entry level software developers jobs on Java Full stack and...,DataQuest corp,"North Brunswick, NJ","$60,000 - $80,000 a year"
566,Entry-Level SQL/BI Developer / Data Analyst ( CPT/OPT Accept...,BeaconFire Solution,"Township of Hamilton, NJ","$60,000 - $75,000 a year"
577,"Software Engineer, API",Boxed,"New York, NY","$103,000 - $155,000 a year (Indeed est.)"
578,UI Software Engineer,JP Morgan Chase,"Jersey City, NJ 07310 (Downtown area)","$102,000 - $149,000 a year (Indeed est.)"
579,Full Stack Software Engineer,WeWork,"New York, NY","$100,000 - $143,000 a year (Indeed est.)"
581,"Associate Software Developer (Java) - Princeton, NJ (19-D-36...",Invidi Technologies Corporation,"Princeton, NJ 08540","$72,000 - $107,000 a year (Indeed est.)"
582,Software Engineer - Core Java,Virtu Financial,"New York, NY","$143,000 - $215,000 a year (Indeed est.)"
583,Software Engineer,DoubleBridge,"Princeton, NJ","$77,000 - $115,000 a year (Indeed est.)"
584,"Senior Software Engineer (Search, $200k+)",Grow,"New York, NY 10017 (Midtown area)","$150,000 - $200,000 a year"
585,"Senior Software Engineer, Developer Productivity",MongoDB,"New York, NY","$113,000 - $151,000 a year (Indeed est.)"
586,Software Engineer,Cityblock Health,"New York, NY","$104,000 - $156,000 a year (Indeed est.)"
587,Software Engineer in Test,VTS,"New York, NY","$97,000 - $144,000 a year (Indeed est.)"
588,Software engineer,Keybase,"New York, NY","$89,000 - $133,000 a year (Indeed est.)"
589,SOFTWARE ENGINEER,Excellent Business Consultants,"New York, NY","$88,000 - $132,000 a year (Indeed est.)"
590,Software Engineer - Core Java,Virtu Careers,"New York, NY","$143,000 - $215,000 a year (Indeed est.)"
591,Software Engineer,Blue State Digital,"New York, NY","$96,000 - $144,000 a year (Indeed est.)"
592,Assoc Dir Software Engineering,Disney Streaming Services,"New York, NY","$131,000 - $197,000 a year (Indeed est.)"
597,Front-End Engineer,Computing Concepts Inc,"New York, NY","$97,000 - $143,000 a year (Indeed est.)"
600,Software Engineer,Transfix.io,"New York, NY","$101,000 - $152,000 a year (Indeed est.)"
602,Software Engineer,Care to Care,"New York, NY 10022 (Midtown area)","$86,000 - $129,000 a year (Indeed est.)"
604,Software Asset Manager,New York City DEPT OF INFO TECH & TELECOMM,"Brooklyn, NY","$110,000 a year"
605,Software Engineer - AI,Xaxis,"New York, NY","$117,000 - $175,000 a year (Indeed est.)"
608,Senior Software Engineer,Revolution Credit,"New York, NY","$119,000 - $159,000 a year (Indeed est.)"
609,Software Engineer Internship,Chexology,"New York, NY 10011 (Chelsea area)","$105,000 - $158,000 a year (Indeed est.)"
610,Software Project Engineer - ASP.NET / C#,Ivalua,"New York, NY","$98,000 - $147,000 a year (Indeed est.)"
611,Senior Software Engineer,"Insight Enterprises, Inc.","New York, NY","$101,000 - $135,000 a year (Indeed est.)"
614,NLP/ML Software Engineer,eBrevia,"New York, NY","$108,000 - $162,000 a year (Indeed est.)"
616,Engineer IT Systems,JetBlue Airways Corporation,"Long Island City, NY","$69,000 - $108,000 a year (Indeed est.)"
617,"Associate, Software Engineering",JP Morgan Chase,"Jersey City, NJ 07310 (Downtown area)","$114,000 - $171,000 a year (Indeed est.)"
619,Software Test Engineer ( IoT device ),RAB Lighting,"New York, NY","$87,000 - $129,000 a year (Indeed est.)"
620,Senior Software Engineer,Circle,"New York, NY 10012 (Little Italy area)","$124,000 - $167,000 a year (Indeed est.)"
639,Confidential Investigator,New York City DEPARTMENT OF INVESTIGATION,"Manhattan, NY 10005 (Financial District area)","$41,996 - $50,000 a year"
650,Deep Learning Specialist,AllocateRite,"Manhattan, NY","$90,000 - $120,000 a year"
660,Solutions Engineer,Confiant,"New York, NY","$90,000 - $125,000 a year"
664,Jr. Hadoop Developer,DataStackTechnologies,"New York, NY",$20 - $40 an hour
683,Java Software Engineer (Labs),Sandata Technologies,"Stony Brook, NY","$103,000 - $149,000 a year (Indeed est.)"
684,Software Engineer,Sumitomo Mitsui Banking Corporation,"New York, NY 10172 (Gramercy area)","$102,000 - $153,000 a year (Indeed est.)"
685,Software Engineer - Front End,"Gencove, Inc.","Manhattan, NY","$121,000 - $178,000 a year (Indeed est.)"
686,Software Engineer,Cyndx,"New York, NY 10017 (Midtown area)","$97,000 - $146,000 a year (Indeed est.)"
687,Software Engineer - Product,TrialSpark,"New York, NY","$105,000 - $157,000 a year (Indeed est.)"
688,Software Engineer - Infrastructure SRE,JP Morgan Chase,"New York, NY 10001 (Chelsea area)","$114,000 - $171,000 a year (Indeed est.)"
689,Embedded Software Engineer,Dandelion Energy,"New York, NY","$103,000 - $155,000 a year (Indeed est.)"
692,Software Engineer - Nielsen/Gracenote Sports,Nielsen,"New York, NY","$100,000 - $151,000 a year (Indeed est.)"
693,FullStack Engineer,American Express,"New York, NY","$90,000 - $129,000 a year (Indeed est.)"
695,Software Engineer - Data Engineering - OTT,Integral Ad Science,"New York, NY 10003 (Greenwich Village area)","$122,000 - $183,000 a year (Indeed est.)"
696,"Software Engineer, Deep Static Analysis, Google Cloud Platfo...",Google,"New York, NY 10011 (Chelsea area)","$99,000 - $149,000 a year (Indeed est.)"
697,Software Engineer,Throtle,"Red Bank, NJ 07701","$87,000 - $131,000 a year (Indeed est.)"
698,"Software Engineer, SSIS T-SQL",AppNexus,"New York, NY 10010 (Gramercy area)","$97,000 - $146,000 a year (Indeed est.)"
699,Software Developer,Menumavin.com,"Stamford, CT 06902 (Downtown area)","$60,000 - $80,000 a year"
703,Software Engineer - Backend Engineer,LivePerson,"New York, NY","$110,000 - $165,000 a year (Indeed est.)"
704,Software Engineer - Core,Datto Inc.,"Norwalk, CT 06851","$81,000 - $121,000 a year (Indeed est.)"
707,College Aide,New York City DEPARTMENT OF TRANSPORTATION,"Queens, NY",$17.30 - $19.90 an hour
