,Job Title,Company,Location,Salary
500,Java front end / Web Developer/Programmer,Trioptus,"Austin, TX",$60 - $65 an hour
509,Patent Agent/Technical Specialist Computer Science,Top Tier Legal,"Austin, TX","$125,000 - $180,000 a year"
534,IoT Solutions Engineer,"ClearBlade, Inc","Austin, TX 78701 (Downtown area)","$75,000 - $150,000 a year"
535,R&D User Interface Software Developer,University of Texas at Austin,"Austin, TX","$82,000 - $129,996 a year"
543,"Enterprise Java Engineer (J2EE, Microsoft)",Jackrabbit Mobile,"Austin, TX 78701 (Downtown area)",$50 - $75 an hour
555,Senior Software Engineer - ThinCloud,Yonomi,"Austin, TX 78701 (Downtown area)","$110,000 - $130,000 a year"
561,Programmer II,TEXAS COMMISSION ON LAW ENFORCEMENT,"Austin, TX","$3,520 a week"
611,Product Management Intern,"Cylance, Inc.","Austin, TX 78758 (North Austin area)",$15 an hour
612,Software Development Engineering Scientist,University of Texas at Austin,"Austin, TX","$82,000 - $129,996 a year"
647,Summer Internship Systems Support Specialist I,Health & Human Services Comm,"Austin, TX 78701 (Downtown area)","$2,453 a month"
648,Sr.Software QA Analyst,Health & Human Services Comm,"Austin, TX 78701 (Downtown area)","$4,917 - $8,060 a month"
649,Quality Assurance & Testing Student Intern,Teacher Retirement System of Texas,"Austin, TX","$2,340 - $2,947 a month"
651,Microstation Drafter,EN Engineering,"Austin, TX 78759 (Arboretum area)",$15 - $19 an hour
674,Social Service Program Entry Specialist,"Aunt Bertha, a Public Benefit Corp.","Austin, TX 78731",$15 an hour
707,System Administrator,Victory,"Austin, TX","$60,000 - $75,000 a year"
719,Enterprise Architect-IMD,Texas Department of Transportation,"Austin, TX 78731","$69,415 - $117,397 a year"
743,Program Manager / Owner Representative,Square One Associates LLC,"Round Rock, TX","$80,000 - $130,000 a year"
745,19-44 - Financial Examiner I-III,Texas Water Development Board,"Austin, TX","$3,081 - $4,100 a month"
753,Director I,DEPARTMENT OF INFORMATION RESOURCES,"Austin, TX 78701 (Downtown area)","$5,785 - $7,300 a month"
761,R&D User Interface Software Developer,University of Texas at Austin,"Austin, TX","$69,500 - $80,000 a year"
801,ASP.NET/SQL Developer,Health & Human Services Comm,"Austin, TX 78701 (Downtown area)","$4,301 - $7,040 a month"
803,Associate Director for Development,University of Texas at Austin,"Austin, TX","$72,000 a year"
808,Software Defined Radio Receiver Software Developer (ESA),University of Texas at Austin,"Austin, TX","$69,500 - $80,000 a year"
813,Application Security Engineer,Kasasa,"Austin, TX","$90,000 - $105,000 a year"
859,Java Developer,Trioptus,"Austin, TX",$50 - $55 an hour
864,"Lead Data Engineer , Department of Population Health, Dell M...",University of Texas at Austin,"Austin, TX","$120,000 a year"
869,Help Desk Specialist,University of Texas at Austin,"Austin, TX","$40,000 a year"
881,"Electronics Technician I, II, III",City of Austin,"Austin, TX 78702 (Rosewood area)",$16.40 - $20.45 an hour
882,Sr. DevOps Engineer,Dovetail Software,"Austin, TX 78750","$90,000 - $100,000 a year"
886,Project Coordinator,City of Austin,"Austin, TX 78702 (Rosewood area)",$27.61 - $35.83 an hour
906,Systems Engineering Associate,University of Texas at Austin,"Austin, TX","$69,500 - $80,000 a year"
922,1204-Application Developer,Employees Retirement System of Texas,"Austin, TX 78701 (Downtown area)","$6,000 - $6,500 a month"
960,DevOps Engineer,eJAmerica,"Austin, TX",$45 - $48 an hour
973,System Support Specialist IV,TEXAS DEPARTMENT OF MOTOR VEHICLES,"Austin, TX 78753 (Windsor Hills area)","$3,520 a month"
976,SQL Report Writer,Dept of State Health Services,"Austin, TX","$3,763 - $4,956 a month"
1038,RRC - IT Junior Salesforce Developer - Programmer III,RAILROAD COMMISSION OF TEXAS,"Austin, TX","$4,023 a week"
1059,CAD Drafter / CNC operator,North Fabrication,"Austin, TX 78748",$15 - $18 an hour
1066,Engineer II,Health & Human Services Comm,"Austin, TX 78701 (Downtown area)","$4,301 - $7,040 a month"
1117,Java Developer/Pivotal Cloud Foundry (PCF) Engineer,Kotera LLC,"Austin, TX","$65,000 - $85,000 a year"
1140,"Interface Specialist – Data Integration Team, Department of...",University of Texas at Austin,"Austin, TX","$75,000 a year"
1147,Electrical Detailer/Drafter,Bergelectric,"Austin, TX 78744",$18 - $28 an hour
1151,Solutions Architect,Health & Human Services Comm,"Austin, TX 78701 (Downtown area)","$5,785 - $8,750 a month"
1153,Underwater Robot Autonomy Designer (ES),University of Texas at Austin,"Austin, TX","$82,000 - $129,996 a year"
1164,Software Test Specialist I (Automated Tester),Navitus Health Solutions / Lumicera Health Service...,"Austin, TX 78759 (Arboretum area)","$65,000 - $90,000 a year (Indeed est.)"
1166,Java Engineer,Confluent,"Austin, TX","$106,000 - $153,000 a year (Indeed est.)"
1167,SR Software Engineer,Continuum Applied Technology Inc.,"Austin, TX 78729","$101,000 - $135,000 a year (Indeed est.)"
1168,Staff Software Engineer,Dosh,"Austin, TX","$88,000 - $132,000 a year (Indeed est.)"
1170,"Senior Software Engineer, Data - C++",SolarWinds,"Austin, TX 78746","$115,000 - $154,000 a year (Indeed est.)"
1171,"Sr. Software Engineer, Xfinity Home",Comcast,"Austin, TX 78730","$101,000 - $136,000 a year (Indeed est.)"
1172,"Senior Software Engineer, Backend Java (REF17013E) - Visa Di...",Visa,"Austin, TX","$82,000 - $110,000 a year (Indeed est.)"
1173,"Software Development Engineer, High Performance Computing (7...","Advanced Micro Devices, Inc.","Austin, TX 78741 (Pleasant Valley area)","$85,000 - $128,000 a year (Indeed est.)"
1176,Systems Analyst IV - Applications,Texas Juvenile Justice Department,"Austin, TX","$4,301 - $4,849 a month"
1177,Embedded Software Developer for ARM based Systems,NXP Semiconductors,"Austin, TX 78735","$79,000 - $119,000 a year (Indeed est.)"
1179,"Intern, Business Systems Analyst (Summer 2019)",TriNet,"Austin, TX","$75,000 - $111,000 a year (Indeed est.)"
1181,Senior Software Engineer,The Knot Worldwide,"Austin, TX","$103,000 - $139,000 a year (Indeed est.)"
1183,Frontend Developer,NowSpace,"Austin, TX","$84,000 - $124,000 a year (Indeed est.)"
1187,Engineering Development Program 2019,Lutron Electronics,"Austin, TX","$64,000 - $96,000 a year (Indeed est.)"
1188,Test Engineer,Cambray Solutions LLC,"Austin, TX","$48,000 a year"
1189,"Software Engineering Manager, EngOps","RetailMeNot, Inc.","Austin, TX 78701 (Downtown area)","$135,000 - $195,000 a year (Indeed est.)"
1190,Senior Software Engineer - Integrations,Adobe,"Austin, TX 78746","$99,000 - $133,000 a year (Indeed est.)"
1192,Senior Software Engineer,Scientific Games,"Austin, TX 78759 (Arboretum area)","$87,000 - $117,000 a year (Indeed est.)"
1216,Programmer III,Texas Juvenile Justice Department,"Austin, TX","$4,023 - $4,534 a month"
1219,Computer Science & STEM Teacher,Launch After School,"Austin, TX 78746",$15 - $20 an hour
1224,Applied Machine Learning Engineer,Alegion,"Austin, TX","$150,000 - $180,000 a year"
1268,Customer Svc Represtatve IV,TEXAS BOARD OF PROFESSIONAL ENGINEERS,"Austin, TX","$2,748 a month"
1276,Summer Graduate Support Tech TPP,Texas Department of Transportation,"Austin, TX 78704 (South Lamar-South Congress area)",$16.25 - $18.50 an hour
1289,Telecommunications Analyst,"Telapprise, LLC","Round Rock, TX","$55,000 - $70,000 a year"
1297,Programmer III,Health & Human Services Comm,"Austin, TX 78701 (Downtown area)","$4,023 - $5,831 a month"
1400,Test Engineer,Cambray Solutions LLC,"Austin, TX","up to $48,000 a year"
1521,Software Engineer (Senior) - Full Stack,RigUp,"Austin, TX","$96,000 - $137,000 a year (Indeed est.)"
1524,Software Development Engineer in Test (SDET),Babylon Health,"Austin, TX","$80,000 - $118,000 a year (Indeed est.)"
1525,.NET Developer,Qatalys Software Technologies,"Austin, TX","$80,000 - $112,000 a year (Indeed est.)"
1527,Senior Front-End UI Developer,Whole Foods Market,"Austin, TX 78703","$95,000 - $140,000 a year (Indeed est.)"
1530,Sr. Software Engineer - C#,Aristocrat Technologies Inc,"Austin, TX 78731","$95,000 - $127,000 a year (Indeed est.)"
1531,"Fullstack Engineer, ATX",Mixpanel,"Austin, TX","$86,000 - $123,000 a year (Indeed est.)"
