,Job_Title,Company,Location,Salary
741,Software Technical Support Specialist,"BookingPal, Inc.","Irvine, CA 92617",53000.0
744,Technology Support Assistant,Santa Monica-Malibu Unified School District,"Santa Monica, CA",52242.0
748,Quality Assurance Engineer - Tester,Paragon Technology & Development,"Hollywood, CA",100000.0
749,Business Systems Analyst,StaffHOUNDS,"Irvine, CA",100000.0
750,Software Engineer Sr,The J. Paul Getty Trust,"Los Angeles, CA 90049",99877.0
751,Senior Records Specialist,"City of Beverly Hills, CA","Beverly Hills, CA 90210",62021.5
752,Entry Level Business Development Trainee,Reynolds and Reynolds,"Los Angeles, CA",45000.0
753,Computer Programmer,Script2IT,"Newport Beach, CA",65892.0
756,JD Edwards E1 Business Analyst,JDEdwardsRecruiter.com,"West Hollywood, CA",120000.0
759,Backend Engineer,Swenson He,"Culver City, CA",100000.0
760,"Growing IT Business, Looking for more Talent",LMJ Consulting,"Anaheim, CA 92801",50000.0
761,IT Analyst - Project Management,Shield Healthcare,"Valencia, CA 91355",100000.0
762,"Director, Software Engineering",RICO Technologies,"Newbury Park, CA 91320",120000.0
763,Help Desk Engineer (1),Kairos Partners LLC,"Pasadena, CA",48000.0
764,Digital Content Producer,Skyrocket Toys,"Los Angeles, CA 90066",80000.0
765,Call Center Representative,Fletcher Jones Management West,"Newport Beach, CA",97500.0
766,Human Resources Analyst I,SCRRA/Metrolink,"Los Angeles, CA 90017",86928.0
767,Mechanic I/II,City of Santa Monica,"Santa Monica, CA 90405",66006.0
768,Customer Service Manager,Everson Spice Company,"Signal Hill, CA 90755",50000.0
769,Production Assistant,Dippin' Daisy's Swimwear,"Vernon, CA",46000.0
770,Creative Designer,"SolGenie Technologies, Inc.","Irvine, CA",150000.0
771,Studio Manager,"ORA - Oonagh Ryan Architects, Inc.","Los Angeles, CA",52500.0
772,JD Edwards Functional Business Analyst,JDEdwardsRecruiter.com,"Hollywood, CA",130000.0
774,Software Architect,The J. Paul Getty Trust,"Los Angeles, CA 90049",139120.5
775,Back-End Engineer,Meredith Corporation,"Culver City, CA",114000.0
776,Staff Software Engineer,The Walt Disney Studios,"Glendale, CA",113000.0
777,Software Engineer (Full-Stack),Factual,"Los Angeles, CA 90067",124000.0
778,"Software Engineer, Android",Bird Rides Inc.,"Santa Monica, CA",115000.0
779,"Software Systems Engineer, Advertising",AT&T,"Los Angeles, CA",139500.0
780,"Software Engineer, Client",Blizzard Entertainment,"Irvine, CA 92623",119000.0
781,Software Engineering – Full Stack,Lykuid,"Costa Mesa, CA",126000.0
782,Computer Systems Analyst,Allied Feather & Down,"Montebello, CA",59509.0
784,Software Developer,National Research Group,"Culver City, CA",84000.0
785,Software Engineer: Blockchain,SFOX,"Los Angeles, CA",135000.0
786,"Senior Software Developer, Ad Applications",Hulu,"Santa Monica, CA",138000.0
788,"Software Engineer - Generalist, WWE",2K Games,"Agoura Hills, CA",101500.0
789,Software Engineer- Data & Integrations (Netsuite),LH Ventures,"Pasadena, CA",100000.0
790,Embedded Real Time Software Developer 2-4,All Points Logistics,"El Segundo, CA",99500.0
791,Senior Software Engineer,PASHpost,"Beverly Hills, CA",130000.0
792,ADABAS/NATURAL Software Developer,Kinect,"Woodland Hills, CA",91500.0
793,Software Engineer-190189,Ellie Mae,"El Segundo, CA",112500.0
794,IT Manager,Microsoft,"Santa Monica, CA 90404",106500.0
795,Software Engineer - Generalist,2K Games,"Foothill Ranch, CA",100000.0
796,Full-Stack Software Engineer,Ritual,"Culver City, CA",159500.0
797,"Engineer, Software",Verint Systems Inc.,"Los Angeles, CA",105500.0
798,Software Developer A,"Settle It, Inc.","Orange, CA",100000.0
799,"Software Engineer (Java), Core - Accounts & Commerce",Blizzard Entertainment,"Irvine, CA 92623",116000.0
